food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-147054001-0355,복류_국매리복_육_생것_군산_5월,100g,91,20.70,0.30,0.20,0.20,수산과학원
R211-147054001-0322,복류_국매리복_육_생것_해남_11월,100g,96,20.94,0.45,0.86,,수산과학원
R211-147074001-0356,복류_까치복_육_생것_군산_6월,100g,85,19.30,0.20,0.50,0.50,수산과학원
R211-147094001-1375,복류_까칠복_육_생것_포항_11월,100g,85,19.30,0.30,0.10,0.10,수산과학원
R211-147114001-0759,복류_매리복_육_생것_여수_6월,100g,88,19.80,0.30,0.42,0.42,수산과학원
R211-147134001-1198,복류_밀복_육_생것_부산_3월,100g,80,17.30,0.70,0.10,0.10,수산과학원
R211-147174001-1370,복류_자주복_육_생것_포항_6월,100g,83,18.80,0.20,0.40,0.40,수산과학원
R211-147194001-0909,복류_졸복_육_생것_진주_평균,100g,83,18.90,0.10,0.50,0.50,수산과학원
R211-147214001-1208,복류_흰점복_육_생것_부산_평균,100g,72,15.90,0.50,0.00,0.00,수산과학원
R211-149014001-1201,볼기우럭_육_생것_부산_6월,100g,129,18.70,5.30,0.00,0.00,수산과학원
R211-151014001-0759,볼락류_개볼락_육_생것_여수_6월,100g,88,19.15,0.70,0.05,0.05,수산과학원
R211-151034001-1199,볼락류_누루시볼락_육_생것_부산_4월,100g,149,22.40,5.80,0.00,0.00,수산과학원
R211-151034001-1694,볼락류_누루시볼락_육_생것_울릉도_5월,100g,106,20.90,1.92,0.00,,수산과학원
R211-151054050-0000,볼락류_볼락_육_구운것_대표_평균,100g,121,22.23,1.62,0.00,0.00,수산과학원
R211-151054001-0759,볼락류_볼락_육_생것_여수_6월,100g,93,19.30,1.00,0.60,0.60,수산과학원
R211-151074001-1200,볼락류_불볼락_육_생것_부산_5월,100g,125,18.59,4.60,0.70,0.70,수산과학원
R211-151094001-1199,볼락류_우럭볼락_육_생것_부산_4월,100g,88,18.30,1.10,0.10,0.10,수산과학원
R211-151114050-0000,볼락류_장문볼락_육_구운것_대표_평균,100g,107,18.51,1.87,0.00,0.00,수산과학원
R211-151114001-0000,볼락류_장문볼락_육_생것_대표_평균,100g,97,15.70,2.10,0.20,,수산과학원
R211-151114001-8080,볼락류_장문볼락_육_생것_수입_평균,100g,102,18.50,2.59,0.00,,수산과학원
R211-151134001-0004,볼락류_조피볼락(우럭)_육_생것_대표_4월,100g,80,17.88,0.45,0.00,,수산과학원
R211-151134001-0000,볼락류_조피볼락(우럭)_육_생것_대표_평균,100g,102,18.41,2.26,0.00,0.00,수산과학원
R211-151134001-0759,볼락류_조피볼락(우럭)_육_생것_여수_6월,100g,121,21.44,3.20,0.16,0.16,수산과학원
R211-151134001-0906,볼락류_조피볼락(우럭)_육_생것_통영_10월,100g,102,19.57,2.04,0.00,,수산과학원
R211-151134001-0908,볼락류_조피볼락(우럭)_육_생것_통영_12월,100g,100,19.67,1.76,0.13,,수산과학원
R211-151134001-0898,볼락류_조피볼락(우럭)_육_생것_통영_2월,100g,109,19.34,2.91,0.00,,수산과학원
R211-151134001-0899,볼락류_조피볼락(우럭)_육_생것_통영_3월,100g,132,19.44,5.36,0.00,,수산과학원
R211-151134001-0900,볼락류_조피볼락(우럭)_육_생것_통영_4월,100g,113,18.79,3.29,0.58,,수산과학원
R211-151134001-0901,볼락류_조피볼락(우럭)_육_생것_통영_5월,100g,129,20.15,4.67,0.09,,수산과학원
R211-151134001-0902,볼락류_조피볼락(우럭)_육_생것_통영_6월,100g,103,21.92,1.15,0.00,,수산과학원
R211-151134001-0903,볼락류_조피볼락(우럭)_육_생것_통영_7월,100g,117,19.69,3.57,0.00,,수산과학원
R211-151134001-0904,볼락류_조피볼락(우럭)_육_생것_통영_8월,100g,119,20.42,3.47,0.00,,수산과학원
R211-151134001-0905,볼락류_조피볼락(우럭)_육_생것_통영_9월,100g,106,20.25,2.22,0.00,,수산과학원
R211-151154001-1367,볼락류_탁자볼락_육_생것_포항_3월,100g,85,19.70,0.10,0.30,0.30,수산과학원
R211-151174001-0757,볼락류_황볼락_육_생것_여수_4월,100g,95,18.90,1.47,0.45,,수산과학원
R211-151194001-1198,볼락류_황점볼락_육_생것_부산_3월,100g,102,21.30,1.30,0.00,0.00,수산과학원
R211-153014001-1208,부세_육_생것_부산_평균,100g,105,17.20,3.40,0.00,0.00,수산과학원
R211-153014001-7391,부세_육_생것_수입_평균,100g,166,18.63,9.25,0.00,,수산과학원
R211-155014001-1198,부시리_육_생것_부산_3월,100g,109,22.30,1.50,0.10,0.10,수산과학원
R211-107054002-0000,북어_육_말린것_대표_평균,100g,339,73.18,3.09,0.32,0.00,수산과학원
R211-483014002-0000,붉은맛(큰죽합)_육_말린것_대표_평균,100g,387,57.90,4.80,14.40,,수산과학원
R211-483014001-0000,붉은맛(큰죽합)_육_생것_대표_평균,100g,62,9.70,1.00,1.30,,수산과학원
R211-483014001-1052,붉은맛(큰죽합)_육_생것_충무_평균,100g,95,16.10,1.80,2.50,2.50,수산과학원
R211-157014001-0004,붉은메기_육_생것_대표_4월,100g,73,16.92,0.21,0.00,,수산과학원
