food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-011134001-1216,갈치류_칠성갈치_육_생것_포항_8월,100g,92,17.88,1.75,0.00,,수산과학원
R211-013014001-1201,감펭류_쑥감펭_육_생것_부산_6월,100g,83,19.00,0.30,0.00,0.00,수산과학원
R211-013034001-1201,감펭류_점감펭_육_생것_부산_6월,100g,90,19.40,0.70,0.30,0.30,수산과학원
R211-013054001-0000,감펭류_홍감펭_육_생것_대표_평균,100g,120,16.70,3.90,0.20,,수산과학원
R211-013054001-1200,감펭류_홍감펭_육_생것_부산_5월,100g,108,16.73,3.90,0.17,0.17,수산과학원
R211-013054001-0757,감펭류_홍감펭_육_생것_여수_4월,100g,160,18.92,8.55,0.00,,수산과학원
R211-661014002-0000,갑오징어류_갑오징어_육_말린것_대표_평균,100g,339,66.80,4.70,3.20,3.20,수산과학원
R211-661014001-1201,갑오징어류_갑오징어_육_생것_부산_6월,100g,75,15.10,1.20,0.10,0.10,수산과학원
R211-661034001-0000,갑오징어류_쇠갑오징어_육_생것_대표_평균,100g,88,16.90,0.70,0.20,,수산과학원
R211-661034001-1200,갑오징어류_쇠갑오징어_육_생것_부산_5월,100g,79,16.87,0.70,0.23,0.23,수산과학원
R211-661054001-0000,갑오징어류_참갑오징어_육_생것_대표_평균,100g,84,17.30,0.20,0.20,,수산과학원
R211-661054001-0759,갑오징어류_참갑오징어_육_생것_여수_6월,100g,76,17.27,0.20,0.23,0.23,수산과학원
R211-015014001-0004,강달이류_눈강달이_육_생것_대표_4월,100g,110,14.90,4.99,0.00,,수산과학원
R211-015014001-0402,강달이류_눈강달이_육_생것_인천_평균,100g,109,17.00,3.90,0.10,0.10,수산과학원
R211-015014071-0000,강달이류_눈강달이_육_젓갈_대표_평균,100g,102,14.00,5.10,0.00,0.00,수산과학원
R211-015014071-0187,강달이류_눈강달이_육_젓갈_신안_6월,100g,88,12.00,3.80,0.40,3.80,수산과학원
R211-017014001-1205,강준치_육_생것_부산_10월,100g,90,18.70,1.10,0.20,0.20,수산과학원
R211-467014002-0000,개량조개_육_말린것_대표_평균,100g,276,54.20,2.00,7.00,7.00,수산과학원
R211-467014001-0355,개량조개_육_생것_군산_5월,100g,62,12.00,0.70,1.10,1.10,수산과학원
R211-911014001-1200,개불류_개불_육_생것_부산_5월,100g,53,10.50,0.20,1.60,1.60,수산과학원
R211-469014001-1200,개조개_육_생것_부산_5월,100g,64,10.90,0.60,3.04,3.04,수산과학원
R211-469014001-1201,개조개_육_생것_부산_6월,100g,105,14.16,1.52,7.52,,수산과학원
R211-713014101-0000,갯가재류_갯가재_내장_생것_대표_평균,100g,89,15.96,2.01,0.75,,수산과학원
R211-713014046-0000,갯가재류_갯가재_육_삶은것_대표_평균,100g,99,19.20,1.70,0.20,,수산과학원
R211-713014001-0000,갯가재류_갯가재_육_생것_대표_평균,100g,105,7.52,2.10,13.13,,수산과학원
R211-713014001-1199,갯가재류_갯가재_육_생것_부산_4월,100g,87,16.10,1.70,0.80,0.80,수산과학원
R211-913014001-0000,갯강구_육_생것_대표_평균,100g,295,45.95,4.20,15.44,,수산과학원
R211-715214001-0766,게류_금강참게_육_생것_광양_평균,100g,167,16.81,9.60,1.48,,수산과학원
R211-715034001-0008,게류_깨다시꽃게_육_생것_대표_8월,100g,80,13.85,1.91,0.82,,수산과학원
R211-715014901-0000,게류_꽃게_다리_생것_대표_평균,100g,112,10.15,6.46,2.02,,수산과학원
R211-715014801-0000,게류_꽃게_몸통_생것_대표_평균,100g,65,14.44,0.46,0.00,,수산과학원
R211-715014046-0000,게류_꽃게_육_삶은것_대표_평균,100g,81,16.10,0.30,0.60,,수산과학원
R211-715014001-0000,게류_꽃게_육_생것_대표_평균,100g,85,16.19,0.70,0.43,0.41,수산과학원
R211-715014001-1201,게류_꽃게_육_생것_부산_6월,100g,91,12.69,3.56,0.93,,수산과학원
R211-715014001-0402,게류_꽃게_육_생것_인천_평균,100g,74,13.70,0.80,2.00,2.00,수산과학원
R211-715014071-0000,게류_꽃게_육_젓갈_대표_평균,100g,63,12.20,0.60,0.80,,수산과학원
R211-715014049-0000,게류_꽃게_육_찐것_대표_평균,100g,92,17.88,0.74,0.00,0.00,수산과학원
R211-715054001-0000,게류_닭게_육_생것_대표_평균,100g,69,15.20,0.50,0.10,0.10,수산과학원
R211-715074101-7560,게류_대게_내장_생것_수입_평균,100g,106,7.77,7.60,0.36,,수산과학원
R211-715074901-0757,게류_대게_다리_생것_여수_4월,100g,86,17.46,0.64,1.46,,수산과학원
R211-715074301-0757,게류_대게_알_생것_여수_4월,100g,139,17.38,3.67,7.63,,수산과학원
R211-715074036-0000,게류_대게_육_데쳐서 말린것_대표_평균,100g,314,66.70,2.60,2.00,2.00,수산과학원
R211-715074046-0000,게류_대게_육_삶은것_대표_평균,100g,72,15.00,0.60,0.10,,수산과학원
R211-715074001-7560,게류_대게_육_생것_수입_평균,100g,79,17.02,0.72,0.04,,수산과학원
R211-715074001-1234,게류_대게_육_생것_영덕_평균,100g,85,17.40,1.00,0.50,0.50,수산과학원
R211-715074028-0000,게류_대게_육_통조림_대표_평균,100g,77,16.30,0.40,0.20,,수산과학원
R211-715094001-0822,게류_동남참게_육_생것_가평(청평)_4월,100g,125,13.20,3.00,9.80,,수산과학원
R211-715094001-0766,게류_동남참게_육_생것_광양_평균,100g,156,16.79,8.49,1.36,,수산과학원
R211-715094001-0004,게류_동남참게_육_생것_대표_4월,100g,125,13.24,2.99,9.87,,수산과학원
R211-715114001-1200,게류_민꽃게_육_생것_부산_5월,100g,86,14.80,1.60,1.99,1.99,수산과학원
R211-715134001-0000,게류_방게_육_생것_대표_평균,100g,73,11.90,1.30,0.90,,수산과학원
R211-715153701-0010,"게류_붉은대게_수컷,다리_생것_대표_10월",100g,64,13.90,0.39,0.44,,수산과학원
R211-715153701-0011,"게류_붉은대게_수컷,다리_생것_대표_11월",100g,54,11.35,0.69,0.00,,수산과학원
R211-715153701-0012,"게류_붉은대게_수컷,다리_생것_대표_12월",100g,51,11.06,0.18,0.68,,수산과학원
R211-715153701-0001,"게류_붉은대게_수컷,다리_생것_대표_1월",100g,56,11.94,0.43,0.34,,수산과학원
R211-715153701-0002,"게류_붉은대게_수컷,다리_생것_대표_2월",100g,66,12.47,0.65,1.71,,수산과학원
R211-715153701-0003,"게류_붉은대게_수컷,다리_생것_대표_3월",100g,54,11.59,0.55,0.00,,수산과학원
R211-715153701-0004,"게류_붉은대게_수컷,다리_생것_대표_4월",100g,55,10.92,0.89,0.02,,수산과학원
R211-715153701-0005,"게류_붉은대게_수컷,다리_생것_대표_5월",100g,67,14.90,0.42,0.15,,수산과학원
R211-715153701-0006,"게류_붉은대게_수컷,다리_생것_대표_6월",100g,65,13.52,0.87,0.00,,수산과학원
R211-715153701-0007,"게류_붉은대게_수컷,다리_생것_대표_7월",100g,66,14.54,0.52,0.00,,수산과학원
R211-715153701-0009,"게류_붉은대게_수컷,다리_생것_대표_9월",100g,56,12.19,0.46,0.00,,수산과학원
R211-715153601-0010,"게류_붉은대게_수컷,몸통_생것_대표_10월",100g,81,10.71,3.52,0.76,,수산과학원
R211-715153601-0011,"게류_붉은대게_수컷,몸통_생것_대표_11월",100g,75,10.33,2.89,1.07,,수산과학원
R211-715153601-0001,"게류_붉은대게_수컷,몸통_생것_대표_1월",100g,71,10.44,2.69,0.38,,수산과학원
R211-715153601-0002,"게류_붉은대게_수컷,몸통_생것_대표_2월",100g,73,9.26,3.64,0.00,,수산과학원
R211-715153601-0003,"게류_붉은대게_수컷,몸통_생것_대표_3월",100g,86,11.37,3.93,0.26,,수산과학원
R211-715153601-0004,"게류_붉은대게_수컷,몸통_생것_대표_4월",100g,115,12.63,6.55,0.09,,수산과학원
R211-715153601-0005,"게류_붉은대게_수컷,몸통_생것_대표_5월",100g,70,8.79,3.16,0.71,,수산과학원
R211-715153601-0006,"게류_붉은대게_수컷,몸통_생것_대표_6월",100g,112,12.36,6.36,0.00,,수산과학원
R211-715153601-0008,"게류_붉은대게_수컷,몸통_생것_대표_8월",100g,81,10.78,3.78,0.00,,수산과학원
R211-715153601-0009,"게류_붉은대게_수컷,몸통_생것_대표_9월",100g,81,9.08,4.39,0.23,,수산과학원
R211-715154301-0009,게류_붉은대게_알_생것_대표_9월,100g,143,16.78,4.42,7.45,,수산과학원
R211-715152501-0001,"게류_붉은대게_암컷,다리_생것_대표_1월",100g,76,14.53,0.61,2.27,,수산과학원
R211-715152401-0001,"게류_붉은대게_암컷,몸통_생것_대표_1월",100g,66,8.91,3.05,0.00,,수산과학원
R211-715151901-0010,"게류_붉은대게_암컷,알_생것_대표_10월",100g,110,15.80,3.28,2.97,,수산과학원
R211-715151901-0012,"게류_붉은대게_암컷,알_생것_대표_12월",100g,132,15.72,4.06,6.59,,수산과학원
R211-715151901-0001,"게류_붉은대게_암컷,알_생것_대표_1월",100g,108,13.40,3.99,3.45,,수산과학원
R211-715151901-0003,"게류_붉은대게_암컷,알_생것_대표_3월",100g,132,18.14,3.77,4.90,,수산과학원
R211-715151901-0004,"게류_붉은대게_암컷,알_생것_대표_4월",100g,137,16.82,2.89,9.42,,수산과학원
R211-715151901-0005,"게류_붉은대게_암컷,알_생것_대표_5월",100g,137,19.99,2.98,6.09,,수산과학원
R211-715151901-0006,"게류_붉은대게_암컷,알_생것_대표_6월",100g,144,19.86,2.48,8.91,,수산과학원
R211-715151901-0007,"게류_붉은대게_암컷,알_생것_대표_7월",100g,146,19.40,2.74,9.38,,수산과학원
R211-715151501-0010,"게류_붉은대게_암컷,전체_생것_대표_10월",100g,113,15.12,4.96,0.52,,수산과학원
R211-715151501-0011,"게류_붉은대게_암컷,전체_생것_대표_11월",100g,84,12.30,2.85,1.22,,수산과학원
R211-715151501-0012,"게류_붉은대게_암컷,전체_생것_대표_12월",100g,83,12.29,2.63,1.57,,수산과학원
R211-715151501-0002,"게류_붉은대게_암컷,전체_생것_대표_2월",100g,69,7.40,2.25,3.92,,수산과학원
R211-715151501-0003,"게류_붉은대게_암컷,전체_생것_대표_3월",100g,63,9.05,1.46,2.62,,수산과학원
R211-715151501-0004,"게류_붉은대게_암컷,전체_생것_대표_4월",100g,81,8.92,4.23,0.85,,수산과학원
R211-715151501-0005,"게류_붉은대게_암컷,전체_생것_대표_5월",100g,95,8.53,4.30,4.60,,수산과학원
R211-715151501-0006,"게류_붉은대게_암컷,전체_생것_대표_6월",100g,66,11.23,2.03,0.00,,수산과학원
R211-715151501-0007,"게류_붉은대게_암컷,전체_생것_대표_7월",100g,92,10.52,5.05,0.00,,수산과학원
R211-715151501-0009,"게류_붉은대게_암컷,전체_생것_대표_9월",100g,68,10.59,2.43,0.12,,수산과학원
R211-715154001-0008,게류_붉은대게_육_생것_대표_8월,100g,66,10.88,2.14,0.05,,수산과학원
R211-715154001-0000,게류_붉은대게_육_생것_대표_평균,100g,48,10.50,0.30,0.30,0.30,수산과학원
R211-715174046-0000,게류_왕게_육_삶은것_대표_평균,100g,85,17.50,1.50,0.30,,수산과학원
R211-715174001-7560,게류_왕게_육_생것_수입_평균,100g,66,13.54,0.56,0.96,,수산과학원
R211-715174001-1221,게류_왕게_육_생것_포항_평균,100g,67,13.70,0.70,0.60,0.60,수산과학원
R211-715194001-0759,게류_주름송편게_육_생것_여수_6월,100g,87,18.78,0.30,1.12,1.12,수산과학원
R211-715234001-0004,게류_참게_육_생것_대표_4월,100g,79,11.13,1.53,4.22,,수산과학원
R211-715234001-1201,게류_참게_육_생것_부산_6월,100g,175,14.40,12.00,0.20,0.20,수산과학원
R211-019014046-7300,게르치류_게르치_육_삶은것_수입_평균,100g,179,22.20,8.40,,,수산과학원
R211-019014001-1201,게르치류_게르치_육_생것_부산_6월,100g,158,20.80,7.50,0.00,0.00,수산과학원
R211-019033901-1678,게르치류_반딧불게르치_전체_생것_동해EEZ_2월,100g,104,19.56,2.32,0.00,,수산과학원
R211-019033901-0757,게르치류_반딧불게르치_전체_생것_여수_4월,100g,111,18.91,3.04,0.70,,수산과학원
R211-471014001-1200,고둥류_갈색고리돼지고둥_육_생것_부산_5월,100g,92,16.08,0.70,4.32,4.32,수산과학원
R211-471034101-1221,고둥류_갈색띠매물고둥_내장_생것_포항_평균,100g,195,22.23,7.65,7.08,,수산과학원
R211-471034050-1221,고둥류_갈색띠매물고둥_육_구운것_포항_평균,100g,135,26.69,0.66,3.96,,수산과학원
R211-471034001-1200,고둥류_갈색띠매물고둥_육_생것_부산_5월,100g,78,15.10,0.20,3.01,3.01,수산과학원
R211-471034001-1221,고둥류_갈색띠매물고둥_육_생것_포항_평균,100g,98,16.90,0.48,5.30,,수산과학원
R211-471034049-1211,고둥류_갈색띠매물고둥_육_찐것_포항_3월,100g,119,23.67,0.81,2.74,,수산과학원
R211-471033901-1221,고둥류_갈색띠매물고둥_전체_생것_포항_평균,100g,146,20.06,4.89,3.80,,수산과학원
R211-471054001-1377,고둥류_관절매물고둥(보라골뱅이)_육_생것_포항_평균,100g,104,17.70,1.10,4.50,4.50,수산과학원
R211-471074101-0886,고둥류_긴고둥(긴뿔고둥)_내장_생것_삼천포_3월,100g,191,21.21,7.70,7.05,,수산과학원
R211-471074001-1202,고둥류_긴고둥(긴뿔고둥)_육_생것_부산_7월,100g,118,17.20,2.70,4.80,4.80,수산과학원
R211-471074001-0886,고둥류_긴고둥(긴뿔고둥)_육_생것_삼천포_3월,100g,115,18.70,0.46,7.72,,수산과학원
R211-471094001-1199,고둥류_나팔고둥_육_생것_부산_4월,100g,111,15.90,3.00,3.90,3.90,수산과학원
R211-471134001-1200,고둥류_두드럭고둥_육_생것_부산_5월,100g,89,14.17,0.70,5.53,5.53,수산과학원
R211-471194001-0759,고둥류_매끈이고둥_육_생것_여수_6월,100g,108,22.50,0.40,2.28,2.28,수산과학원
R211-471194001-1211,고둥류_매끈이고둥_육_생것_포항_3월,100g,164,24.31,4.69,4.29,,수산과학원
R211-471174101-1221,고둥류_명주매물고둥_내장_생것_포항_평균,100g,200,18.50,11.18,4.10,,수산과학원
R211-471174050-1221,고둥류_명주매물고둥_육_구운것_포항_평균,100g,132,22.65,0.64,7.42,,수산과학원
R211-471174001-1221,고둥류_명주매물고둥_육_생것_포항_평균,100g,100,16.02,0.64,6.44,,수산과학원
R211-471174049-1221,고둥류_명주매물고둥_육_찐것_포항_평균,100g,124,21.50,0.63,6.65,,수산과학원
R211-471173901-1221,고둥류_명주매물고둥_전체_생것_포항_평균,100g,146,17.78,5.90,3.73,,수산과학원
R211-471214001-1370,고둥류_물레고둥_육_생것_포항_6월,100g,88,17.11,0.30,3.19,3.19,수산과학원
R211-471234001-1202,고둥류_민허리돼지고둥_육_생것_부산_7월,100g,105,16.50,2.40,3.20,3.20,수산과학원
R211-471253901-0899,고둥류_바다방석고둥_전체_생것_통영_3월,100g,100,15.95,1.64,4.16,,수산과학원
R211-471274001-0457,고둥류_반석고둥_육_생것_완도_3월,100g,102,16.39,2.12,3.11,,수산과학원
R211-471294046-0000,고둥류_보말고둥_육_삶은것_대표_평균,100g,118,18.40,0.70,5.30,,수산과학원
R211-471294001-1201,고둥류_보말고둥_육_생것_부산_6월,100g,93,14.60,2.20,2.60,2.60,수산과학원
R211-471294001-1211,고둥류_보말고둥_육_생것_포항_3월,100g,96,17.00,1.46,2.50,,수산과학원
R211-471314001-1200,고둥류_비단고둥_육_생것_부산_5월,100g,95,17.00,1.20,2.80,2.80,수산과학원
R211-471334001-1370,고둥류_세고리물레고둥_육_생것_포항_6월,100g,74,14.98,0.10,2.42,2.42,수산과학원
R211-471374001-1199,고둥류_위고둥_육_생것_부산_4월,100g,66,11.20,1.50,1.10,1.10,수산과학원
R211-471353901-0899,고둥류_입뿔고둥_전체_생것_통영_3월,100g,132,20.44,3.02,4.17,,수산과학원
R211-471394001-1200,고둥류_조각매물고둥_육_생것_부산_5월,100g,127,17.70,3.60,4.40,4.40,수산과학원
R211-471414046-0886,고둥류_쪽고둥_육_삶은것_삼천포_3월,100g,90,12.84,1.15,5.97,,수산과학원
R211-471414001-0886,고둥류_쪽고둥_육_생것_삼천포_3월,100g,99,14.76,0.97,6.65,,수산과학원
R211-471434046-0886,고둥류_참고둥_육_삶은것_삼천포_3월,100g,110,18.10,2.06,3.48,,수산과학원
R211-471434001-0886,고둥류_참고둥_육_생것_삼천포_3월,100g,107,17.40,2.11,3.41,,수산과학원
R211-471454001-1201,고둥류_콩깍지고둥(털골뱅이)_육_생것_부산_6월,100g,100,19.70,0.50,3.00,3.00,수산과학원
R211-471474001-1200,고둥류_털탑고둥_육_생것_부산_5월,100g,145,20.70,3.70,5.50,5.50,수산과학원
R211-471494101-0766,고둥류_피뿔고둥_내장_생것_여수_평균,100g,130,17.04,3.51,6.14,,수산과학원
R211-471494050-0766,고둥류_피뿔고둥_육_구운것_여수_평균,100g,138,15.88,0.14,16.87,,수산과학원
R211-471494001-1200,고둥류_피뿔고둥_육_생것_부산_5월,100g,110,17.93,0.20,7.97,7.97,수산과학원
R211-471494001-0766,고둥류_피뿔고둥_육_생것_여수_평균,100g,102,16.28,0.24,7.59,,수산과학원
R211-471494049-0766,고둥류_피뿔고둥_육_찐것_여수_평균,100g,127,17.08,0.46,12.39,,수산과학원
R211-471493901-0766,고둥류_피뿔고둥_전체_생것_여수_평균,100g,111,17.23,1.24,6.58,,수산과학원
R211-021014050-7014,고등어류_고등어_육_구운것_수입(영국)_평균,100g,278,19.90,22.00,,,수산과학원
R211-021014050-7300,고등어류_고등어_육_구운것_수입(일본)_평균,100g,293,25.20,22.40,0.40,,수산과학원
R211-021014005-7300,고등어류_고등어_육_반정도 말린것_수입_평균,100g,336,18.70,28.50,0.20,,수산과학원
R211-021014046-7300,고등어류_고등어_육_삶은것_수입_평균,100g,281,22.60,22.60,0.30,,수산과학원
R211-021014001-0010,고등어류_고등어_육_생것_대표_10월,100g,140,21.90,4.90,0.38,,수산과학원
R211-021014001-0006,고등어류_고등어_육_생것_대표_6월,100g,159,23.57,6.36,0.00,,수산과학원
R211-021014001-0008,고등어류_고등어_육_생것_대표_8월,100g,121,23.06,2.47,0.00,,수산과학원
R211-021014001-1198,고등어류_고등어_육_생것_부산_3월,100g,139,20.30,5.70,0.00,0.00,수산과학원
R211-021014001-1200,고등어류_고등어_육_생것_부산_5월,100g,146,22.00,5.50,0.30,0.30,수산과학원
R211-021014001-1202,고등어류_고등어_육_생것_부산_7월,100g,175,20.60,9.40,0.00,0.00,수산과학원
R211-021014001-1204,고등어류_고등어_육_생것_부산_9월,100g,246,18.70,17.80,0.00,0.00,수산과학원
R211-021014001-1208,고등어류_고등어_육_생것_부산_평균,100g,183,20.20,10.40,0.00,0.00,수산과학원
R211-021014001-5311,고등어류_고등어_육_생것_수입_평균,100g,242,17.00,16.03,4.79,,수산과학원
R211-021014001-0438,고등어류_고등어_육_생것_제주_10월,100g,140,21.90,4.90,0.38,,수산과학원
R211-021014001-0441,고등어류_고등어_육_생것_제주_평균,100g,268,20.11,19.43,0.00,,수산과학원
R211-021014011-0000,고등어류_고등어_육_소금에 절여 말린것_대표_평균,100g,171,21.30,8.30,0.60,,수산과학원
R211-021014021-0000,고등어류_고등어_육_소금에 절여 저장한것_대표_평균,100g,172,26.90,6.20,0.10,0.10,수산과학원
R211-021014021-1221,고등어류_고등어_육_소금에 절여 저장한것_포항_평균,100g,184,21.56,9.86,0.01,,수산과학원
R211-021014019-0000,고등어류_고등어_육_소금에 절인것_대표_평균,100g,286,18.99,16.14,6.36,0.00,수산과학원
R211-021014028-0000,고등어류_고등어_육_통조림_대표_평균,100g,114,15.60,4.46,0.00,0.00,수산과학원
R211-021014028-5928,고등어류_고등어_육_통조림_수입_6월,100g,207,18.30,13.70,0.30,,수산과학원
R211-021014016-7014,고등어류_고등어_육_훈제_수입_평균,100g,301,21.10,24.10,,,수산과학원
R211-021013901-5308,고등어류_고등어_전체_생것_수입_10월,100g,293,17.00,25.00,0.00,,수산과학원
R211-021013901-5303,고등어류_고등어_전체_생것_수입_5월,100g,123,18.60,5.40,0.00,,수산과학원
R211-021013901-6637,고등어류_고등어_전체_생것_수입_평균,100g,85,17.50,1.30,0.50,,수산과학원
R211-021013960-5303,고등어류_고등어_전체_조린것_수입_5월,100g,107,16.60,4.50,0.00,,수산과학원
R211-021013960-5305,고등어류_고등어_전체_조린것_수입_7월,100g,248,15.20,20.80,0.00,,수산과학원
R211-021013954-5303,고등어류_고등어_전체_튀긴것_수입_5월,100g,175,19.70,9.20,3.20,,수산과학원
R211-021013954-5305,고등어류_고등어_전체_튀긴것_수입_7월,100g,316,18.10,25.60,3.20,,수산과학원
R211-021013916-5311,고등어류_고등어_전체_훈제_수입_평균,100g,295,19.50,24.10,0.00,,수산과학원
R211-021034001-0010,고등어류_망치고등어_육_생것_대표_10월,100g,152,23.54,5.51,0.19,,수산과학원
R112-812013901-0899,고리매_전체_생것_통영_3월,100g,14,1.35,0.25,4.65,,수산과학원
R211-023014001-1370,괴도라치_육_생것_포항_6월,100g,74,17.20,0.10,0.02,0.02,수산과학원
R211-915014047-1211,군소류_군소_육_데친것_포항_3월,100g,40,7.30,0.83,0.37,,수산과학원
R211-915014047-1221,군소류_군소_육_데친것_포항_평균,100g,67,12.88,0.83,1.28,,수산과학원
R211-915014001-1197,군소류_군소_육_생것_부산_2월,100g,36,5.80,1.00,0.50,0.50,수산과학원
R211-915014001-0899,군소류_군소_육_생것_통영_3월,100g,35,6.75,0.60,0.28,,수산과학원
R211-915014001-1211,군소류_군소_육_생것_포항_3월,100g,37,7.30,0.54,0.37,,수산과학원
R211-915014049-1201,군소류_군소_육_찐것_부산_6월,100g,87,16.02,0.83,2.79,,수산과학원
R211-915034001-1197,군소류_풍선군소_육_생것_부산_2월,100g,43,7.70,0.90,0.50,0.50,수산과학원
R211-025014001-1198,군평선이_육_생것_부산_3월,100g,103,18.50,2.60,0.20,0.20,수산과학원
R211-473014001-0763,굴류_굴_육_생것_여수_10월,100g,50,5.80,1.33,3.27,,수산과학원
R211-473014001-0765,굴류_굴_육_생것_여수_12월,100g,51,6.08,1.17,3.51,,수산과학원
R211-473014001-0755,굴류_굴_육_생것_여수_2월,100g,98,9.44,2.84,7.65,,수산과학원
R211-473014001-0757,굴류_굴_육_생것_여수_4월,100g,99,8.25,2.92,8.85,,수산과학원
R211-473014001-0759,굴류_굴_육_생것_여수_6월,100g,54,8.37,1.27,1.65,,수산과학원
R211-473014001-0761,굴류_굴_육_생것_여수_8월,100g,61,9.91,1.51,1.10,,수산과학원
R211-473014071-0000,굴류_굴_육_젓갈_대표_평균,100g,110,6.63,2.27,14.85,,수산과학원
R211-473054001-0000,굴류_석굴_육_생것_대표_평균,100g,71,8.90,1.20,3.70,,수산과학원
R211-473077401-0000,"굴류_참굴_양식,육_생것_대표_평균",100g,98,10.50,2.40,5.10,,수산과학원
R211-473074046-0000,굴류_참굴_육_삶은것_대표_평균,100g,100,9.90,3.60,7.10,,수산과학원
R211-473074001-0000,굴류_참굴_육_생것_대표_평균,100g,92,9.66,2.19,5.27,0.97,수산과학원
R211-473074001-1200,굴류_참굴_육_생것_부산_5월,100g,73,9.20,2.60,2.30,2.30,수산과학원
R211-473074001-1058,굴류_참굴_육_생것_진해_6월,100g,99,12.64,2.05,6.40,,수산과학원
R211-473074071-0000,굴류_참굴_육_젓갈_대표_평균,100g,101,8.60,2.70,8.10,,수산과학원
R211-473074028-0000,굴류_참굴_육_통조림_대표_평균,100g,92,14.70,2.70,0.00,,수산과학원
R211-473094001-1207,굴류_토굴(벗굴)_육_생것_부산_12월,100g,82,10.20,1.80,5.30,5.30,수산과학원
R211-027014001-1205,기름종개_육_생것_부산_10월,100g,107,17.50,3.30,0.50,0.50,수산과학원
R211-027034001-0649,기름종개류_미꾸라지_육_생것_진안_평균,100g,144,17.08,7.44,0.35,,수산과학원
R211-027033901-0649,기름종개류_미꾸라지_전체_생것_진안_평균,100g,138,15.88,7.54,0.00,,수산과학원
R211-027054046-0000,기름종개류_미꾸리_육_삶은것_대표_평균,100g,84,17.10,1.20,0.00,,수산과학원
R211-027054001-0792,기름종개류_미꾸리_육_생것_금산_평균,100g,146,18.44,7.24,0.00,,수산과학원
R211-027054001-0649,기름종개류_미꾸리_육_생것_대전_평균,100g,96,16.20,2.80,0.20,0.20,수산과학원
R211-027053901-0649,기름종개류_미꾸리_전체_생것_진안_평균,100g,115,14.73,5.34,0.52,,수산과학원
R112-813013902-0766,김류_김_전체_말린것_여수_평균,100g,173,45.94,0.37,36.17,,수산과학원
R112-813013901-0766,김류_김_전체_생것_여수_평균,100g,20,5.01,0.18,4.05,,수산과학원
R112-813033902-0000,김류_김밥용김_전체_말린것_대표_평균,100g,202,38.46,2.82,46.19,0.00,수산과학원
R112-813033902-5402,김류_김밥용김_전체_말린것_대표_평균,100g,179,44.42,0.53,44.04,,수산과학원
R112-813053902-0000,김류_돌김(둥근돌김)_전체_말린것_대표_평균,100g,168,35.50,1.70,44.60,43.30,수산과학원
R112-813073902-0313,김류_모무늬돌김_전체_말린것_해남_2월,100g,345,36.08,0.38,46.08,,수산과학원
R112-813073901-0313,김류_모무늬돌김_전체_생것_해남_2월,100g,45,5.09,0.14,5.30,,수산과학원
R112-813097301-0002,"김류_방사무늬김_양식,전체_생것_대표_2월",100g,16,3.78,0.27,3.61,,수산과학원
R112-813093902-5402,김류_방사무늬김_전체_말린것_대표_평균,100g,173,36.85,0.56,48.49,,수산과학원
R112-813093914-5402,김류_방사무늬김_전체_조미_대표_평균,100g,308,21.50,49.82,20.54,,수산과학원
R112-813133950-0000,김류_참김_전체_구운것_대표_평균,100g,193,43.30,0.90,41.70,,수산과학원
R112-813133902-0000,김류_참김_전체_말린것_대표_평균,100g,165,38.60,1.70,40.30,38.60,수산과학원
R112-813133901-0000,김류_참김_전체_생것_대표_평균,100g,12,3.30,0.40,2.00,1.70,수산과학원
R112-813133914-0000,김류_참김_전체_조미_대표_평균,100g,341,37.69,49.23,4.82,0.39,수산과학원
R112-813133912-0000,김류_참김_전체_조미하여 말린것_대표_평균,100g,172,37.80,2.30,42.90,41.10,수산과학원
R112-813153902-0000,김류_초밥김_전체_말린것_대표_평균,100g,168,32.70,0.80,40.90,,수산과학원
R211-029014004-7300,까나리_육_삶아서 말린것_수입_평균,100g,218,43.10,6.10,1.50,,수산과학원
R211-029014001-0909,까나리_육_생것_진주_평균,100g,114,16.00,4.80,0.30,0.30,수산과학원
R211-029014077-0000,까나리_육_젓갈(액젓)_대표_평균,100g,30,7.16,0.01,0.27,0.03,수산과학원
R211-029014077-5402,까나리_육_젓갈(액젓)_대표_평균,100g,36,7.04,0.26,1.05,,수산과학원
R211-029014077-5928,까나리_육_젓갈(액젓)_수입_6월,100g,36,7.80,0.20,0.20,,수산과학원
R211-031014001-1205,꺽저기_육_생것_부산_10월,100g,92,19.50,1.00,0.10,0.10,수산과학원
R211-475014050-0766,꼬막류_꼬막_육_구운것_여수_평균,100g,153,21.38,3.93,6.23,,수산과학원
R211-475014002-0766,꼬막류_꼬막_육_말린것_여수_평균,100g,441,18.44,12.35,60.16,,수산과학원
R211-475014001-1200,꼬막류_꼬막_육_생것_부산_5월,100g,63,12.60,0.30,1.60,1.60,수산과학원
R211-475014049-0766,꼬막류_꼬막_육_찐것_여수_평균,100g,169,19.29,4.57,10.86,,수산과학원
R211-475013901-0545,꼬막류_꼬막_전체_생것_율촌_평균,100g,97,12.88,2.30,5.16,,수산과학원
R211-475034001-0006,꼬막류_새꼬막_육_생것_대표_6월,100g,84,14.14,1.28,3.10,,수산과학원
R211-475034001-0000,꼬막류_새꼬막_육_생것_대표_평균,100g,82,12.29,1.11,2.87,0.88,수산과학원
